season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2010_11,2010-10-26,Miami,Boston,80,88,2.0,1.0,193.0,188.0,loss,under
2010_11,2010-10-26,Phoenix,Portland,92,106,-5.5,-7.0,200.5,204.0,win,under
2010_11,2010-10-26,Houston,LALakers,110,112,-9.5,-6.5,202.0,195.0,loss,over
2010_11,2010-10-27,Detroit,NewJersey,98,101,-4.0,-4.0,194.5,188.0,loss,over
2010_11,2010-10-27,Boston,Cleveland,87,95,3.0,4.5,189.0,185.0,loss,under
2010_11,2010-10-27,NewYork,Toronto,98,93,-2.5,-1.0,209.5,214.5,loss,under
2010_11,2010-10-27,Miami,Philadelphia,97,87,8.0,8.0,191.0,192.0,win,under
2010_11,2010-10-27,Atlanta,Memphis,119,104,-5.5,-2.0,198.0,192.5,loss,over
2010_11,2010-10-27,Sacramento,Minnesota,117,116,-4.5,-3.5,196.5,205.0,loss,over
2010_11,2010-10-27,Milwaukee,NewOrleans,91,95,-3.5,-3.0,193.5,189.0,win,under
2010_11,2010-10-27,Chicago,OklahomaCity,95,106,-6.0,-6.5,195.0,193.0,win,over
2010_11,2010-10-27,Charlotte,Dallas,86,101,-6.5,-7.0,190.5,183.0,win,over
2010_11,2010-10-27,Indiana,SanAntonio,109,122,-9.0,-8.5,202.5,204.0,win,over
2010_11,2010-10-27,Utah,Denver,88,110,-4.5,-3.0,204.0,209.5,win,under
2010_11,2010-10-27,Houston,GoldenState,128,132,-4.0,-3.5,210.0,217.0,win,over
2010_11,2010-10-27,Portland,LAClippers,98,88,2.0,2.5,197.5,192.0,win,under
2010_11,2010-10-28,Washington,Orlando,83,112,-13.0,-13.5,193.5,191.0,win,over
2010_11,2010-10-28,Phoenix,Utah,110,94,-6.0,-7.5,208.5,209.5,loss,under
2010_11,2010-10-29,Indiana,Charlotte,104,101,-5.5,-5.0,191.5,197.5,loss,over
2010_11,2010-10-29,Sacramento,NewJersey,100,106,-2.0,-2.0,199.0,197.5,win,over
2010_11,2010-10-29,Atlanta,Philadelphia,104,101,3.5,3.5,194.5,193.0,loss,over
2010_11,2010-10-29,Cleveland,Toronto,81,101,-3.0,-4.0,197.0,194.5,win,under
2010_11,2010-10-29,NewYork,Boston,101,105,-9.0,-9.5,198.0,200.0,loss,over
2010_11,2010-10-29,OklahomaCity,Detroit,105,104,6.0,6.0,196.0,195.5,loss,over
2010_11,2010-10-29,Orlando,Miami,70,96,-4.0,-3.5,184.0,188.5,win,under
2010_11,2010-10-29,Milwaukee,Minnesota,85,96,4.0,4.5,201.0,204.0,loss,under
