season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2018_19,2018-10-16,Philadelphia,Boston,87,105,-5.0,-4.5,208.5,211.5,win,under
2018_19,2018-10-16,OklahomaCity,GoldenState,100,108,-11.5,-12.0,223.5,220.5,loss,under
2018_19,2018-10-17,Memphis,Indiana,83,111,-7.0,-7.5,209.0,204.5,win,under
2018_19,2018-10-17,Milwaukee,Charlotte,113,112,1.5,3.0,217.0,222.0,loss,over
2018_19,2018-10-17,Miami,Orlando,101,104,2.0,2.5,210.5,208.0,loss,under
2018_19,2018-10-17,Brooklyn,Detroit,100,103,-4.5,-6.0,212.0,213.0,loss,under
2018_19,2018-10-17,Atlanta,NewYork,107,126,-3.5,-4.0,213.5,216.5,win,over
2018_19,2018-10-17,Cleveland,Toronto,104,116,-11.5,-12.5,214.0,215.5,loss,over
2018_19,2018-10-17,NewOrleans,Houston,131,112,-7.5,-8.0,229.5,233.0,loss,over
2018_19,2018-10-17,Minnesota,SanAntonio,108,112,-1.0,-2.5,210.5,212.0,win,over
2018_19,2018-10-17,Utah,Sacramento,123,117,7.5,8.5,208.0,205.5,loss,over
2018_19,2018-10-17,Dallas,Phoenix,100,121,-1.0,2.5,215.0,212.5,loss,over
2018_19,2018-10-17,Denver,LAClippers,107,98,-0.0,2.0,227.0,222.5,win,under
2018_19,2018-10-18,Chicago,Philadelphia,108,127,-11.0,-12.5,215.0,221.0,win,over
2018_19,2018-10-18,Miami,Washington,113,112,-4.0,-6.0,212.0,215.0,loss,over
2018_19,2018-10-18,LALakers,Portland,119,128,-2.5,-3.0,222.0,224.0,win,over
2018_19,2018-10-19,Charlotte,Orlando,120,88,0.0,1.5,217.0,215.5,win,under
2018_19,2018-10-19,NewYork,Brooklyn,105,107,-3.0,-4.0,218.5,222.0,loss,under
2018_19,2018-10-19,Sacramento,NewOrleans,129,149,-10.5,-11.5,228.0,232.5,win,over
2018_19,2018-10-19,Boston,Toronto,101,113,-3.0,-3.0,206.0,209.5,win,over
2018_19,2018-10-19,Cleveland,Minnesota,123,131,-8.0,-8.5,223.5,223.0,loss,over
2018_19,2018-10-19,Atlanta,Memphis,117,131,-6.5,-7.0,208.5,217.0,win,over
2018_19,2018-10-19,Indiana,Milwaukee,101,118,-3.0,-3.5,214.5,217.0,win,over
2018_19,2018-10-19,GoldenState,Utah,124,123,2.0,2.5,218.0,217.5,loss,over
2018_19,2018-10-19,OklahomaCity,LAClippers,92,108,-1.5,-3.0,215.5,214.0,win,under
2018_19,2018-10-20,Toronto,Washington,117,113,1.0,-2.0,216.5,219.5,loss,over
2018_19,2018-10-20,Brooklyn,Indiana,112,132,-9.0,-8.0,210.5,214.5,win,over
2018_19,2018-10-20,Orlando,Philadelphia,115,116,-11.5,-12.5,217.0,217.5,loss,over
2018_19,2018-10-20,Boston,NewYork,103,101,8.0,9.5,211.5,210.5,loss,under
2018_19,2018-10-20,Charlotte,Miami,113,112,-5.0,-3.5,216.5,220.5,loss,over
2018_19,2018-10-20,Detroit,Chicago,118,116,2.5,5.0,214.0,217.0,loss,over
2018_19,2018-10-20,Minnesota,Dallas,136,140,2.5,-2.0,216.0,220.5,win,over
2018_19,2018-10-20,Phoenix,Denver,91,119,-9.0,-10.5,223.0,224.5,win,under
2018_19,2018-10-20,SanAntonio,Portland,108,121,-4.0,-5.0,213.0,214.0,win,over
2018_19,2018-10-20,Houston,LALakers,124,115,2.0,3.5,235.0,237.5,win,over
2018_19,2018-10-21,Atlanta,Cleveland,133,111,-5.5,-8.0,226.5,232.5,loss,over
2018_19,2018-10-21,Sacramento,OklahomaCity,131,120,-8.5,-10.5,219.5,222.5,loss,over
2018_19,2018-10-21,GoldenState,Denver,98,100,3.0,4.5,230.0,230.5,loss,under
2018_19,2018-10-21,Houston,LAClippers,112,115,2.5,-2.5,225.0,220.5,win,over
2018_19,2018-10-22,Charlotte,Toronto,106,127,-9.0,-8.5,221.0,225.0,win,over
2018_19,2018-10-22,Orlando,Boston,93,90,-12.0,-11.0,212.0,211.5,loss,under
2018_19,2018-10-22,Indiana,Minnesota,91,101,-2.0,-2.0,221.5,229.5,win,under
2018_19,2018-10-22,NewYork,Milwaukee,113,124,-10.0,-11.5,222.0,227.0,loss,over
2018_19,2018-10-22,Chicago,Dallas,109,115,-4.5,-5.0,228.5,229.0,win,under
