season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2013_14,2013-10-29,Orlando,Indiana,87,97,-12.5,-12.0,187.0,188.5,loss,under
2013_14,2013-10-29,Chicago,Miami,95,107,-5.0,-5.0,187.5,188.5,win,over
2013_14,2013-10-29,LAClippers,LALakers,103,116,9.0,9.5,196.5,202.5,loss,over
2013_14,2013-10-30,Miami,Philadelphia,110,114,9.5,9.5,195.5,195.0,loss,over
2013_14,2013-10-30,Brooklyn,Cleveland,94,98,3.0,3.0,196.0,194.0,loss,under
2013_14,2013-10-30,Boston,Toronto,87,93,-7.5,-8.0,190.0,189.5,loss,under
2013_14,2013-10-30,Washington,Detroit,102,113,-3.0,-2.5,190.5,189.0,win,over
2013_14,2013-10-30,Milwaukee,NewYork,83,90,-9.0,-8.0,197.5,196.5,loss,under
2013_14,2013-10-30,Charlotte,Houston,83,96,-12.0,-13.0,204.5,200.0,loss,under
2013_14,2013-10-30,Orlando,Minnesota,115,120,-9.0,-10.5,196.0,199.0,loss,over
2013_14,2013-10-30,Indiana,NewOrleans,95,90,3.0,-1.5,186.5,187.5,loss,under
2013_14,2013-10-30,Atlanta,Dallas,109,118,-4.5,-6.0,196.0,196.0,win,over
2013_14,2013-10-30,Memphis,SanAntonio,94,101,-6.0,-6.0,187.0,189.0,win,over
2013_14,2013-10-30,OklahomaCity,Utah,101,98,4.5,6.5,196.0,191.5,loss,over
2013_14,2013-10-30,Portland,Phoenix,91,104,3.0,5.5,198.0,197.5,loss,under
2013_14,2013-10-30,Denver,Sacramento,88,90,3.0,-2.5,207.5,203.5,loss,under
2013_14,2013-10-30,LALakers,GoldenState,94,125,-11.0,-12.5,203.5,206.0,win,over
2013_14,2013-10-31,NewYork,Chicago,81,82,-7.5,-7.5,189.5,188.0,loss,under
2013_14,2013-10-31,GoldenState,LAClippers,115,126,-7.0,-6.0,203.0,205.5,win,over
2013_14,2013-11-01,NewOrleans,Orlando,90,110,4.0,4.0,194.5,193.5,loss,over
2013_14,2013-11-01,Cleveland,Charlotte,84,90,1.5,3.5,190.5,188.0,loss,under
2013_14,2013-11-01,Philadelphia,Washington,109,102,-8.5,-9.5,196.5,201.0,loss,over
2013_14,2013-11-01,Toronto,Atlanta,95,102,-3.5,-3.5,194.0,195.0,win,over
2013_14,2013-11-01,Milwaukee,Boston,105,98,-2.5,-2.5,191.0,185.5,loss,over
2013_14,2013-11-01,Dallas,Houston,105,113,-7.5,-6.5,202.0,207.0,win,over
2013_14,2013-11-01,Detroit,Memphis,108,111,-7.5,-7.5,186.5,189.5,loss,over
2013_14,2013-11-01,OklahomaCity,Minnesota,81,100,1.0,-2.0,200.5,201.0,win,under
2013_14,2013-11-01,Miami,Brooklyn,100,101,3.0,4.0,194.5,195.0,loss,over
2013_14,2013-11-01,Portland,Denver,113,98,-6.0,-4.5,199.5,198.0,loss,over
2013_14,2013-11-01,Utah,Phoenix,84,87,-3.0,-3.0,197.0,195.5,loss,under
2013_14,2013-11-01,LAClippers,Sacramento,110,101,4.0,3.5,196.0,203.0,win,over
2013_14,2013-11-01,SanAntonio,LALakers,91,85,7.0,7.0,205.5,208.5,loss,under
2013_14,2013-11-02,Cleveland,Indiana,74,89,-8.5,-8.0,189.0,188.0,win,under
2013_14,2013-11-02,Chicago,Philadelphia,104,107,9.0,9.0,192.0,194.5,loss,over
2013_14,2013-11-02,Charlotte,NewOrleans,84,105,-7.5,-8.5,189.5,184.5,win,over
2013_14,2013-11-02,Toronto,Milwaukee,97,90,-0.0,1.0,193.5,190.5,win,under
2013_14,2013-11-02,Memphis,Dallas,99,111,-2.0,-3.0,190.0,194.5,win,over
2013_14,2013-11-02,Houston,Utah,104,93,6.0,6.0,201.0,199.5,win,under
2013_14,2013-11-02,SanAntonio,Portland,105,115,3.0,2.5,197.0,198.5,loss,over
2013_14,2013-11-02,Sacramento,GoldenState,87,98,-9.5,-11.0,207.0,208.0,loss,under
2013_14,2013-11-03,Boston,Detroit,77,87,-9.5,-9.0,191.5,193.0,win,under
2013_14,2013-11-03,Washington,Miami,93,103,-13.5,-12.5,200.0,199.5,loss,under
2013_14,2013-11-03,Brooklyn,Orlando,86,107,6.0,5.5,197.0,195.0,loss,under
2013_14,2013-11-03,Phoenix,OklahomaCity,96,103,-13.5,-12.5,197.0,198.5,loss,over
2013_14,2013-11-03,Minnesota,NewYork,109,100,-4.0,-3.0,195.0,195.0,loss,over
2013_14,2013-11-03,Atlanta,LALakers,103,105,2.5,0.0,205.0,205.5,loss,over
2013_14,2013-11-04,GoldenState,Philadelphia,110,90,7.0,7.0,211.5,211.5,win,under
2013_14,2013-11-04,Minnesota,Cleveland,92,93,-1.5,-1.5,195.5,198.0,loss,under
2013_14,2013-11-04,Boston,Memphis,88,95,-11.5,-12.0,188.0,185.5,loss,under
2013_14,2013-11-04,Houston,LAClippers,118,137,-4.5,-5.0,205.5,211.0,win,over
2013_14,2013-11-05,Miami,Toronto,104,95,6.0,5.5,196.0,195.5,win,over
2013_14,2013-11-05,Utah,Brooklyn,88,104,-11.5,-9.5,190.5,191.0,win,over
