season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2015_16,2015-10-27,Cleveland,Chicago,95,97,-2.0,-4.0,197.5,198.5,loss,under
2015_16,2015-10-27,Detroit,Atlanta,106,94,-7.0,-7.0,197.5,196.5,loss,over
2015_16,2015-10-27,NewOrleans,GoldenState,95,111,-9.5,-10.5,214.5,215.0,win,under
2015_16,2015-10-28,Washington,Orlando,88,87,3.5,4.0,204.5,202.5,loss,under
2015_16,2015-10-28,Philadelphia,Boston,95,112,-11.0,-12.5,198.0,198.0,win,over
2015_16,2015-10-28,Indiana,Toronto,99,106,-5.5,-5.5,198.5,199.5,win,over
2015_16,2015-10-28,Chicago,Brooklyn,115,100,6.0,5.0,194.5,196.5,win,over
2015_16,2015-10-28,Charlotte,Miami,94,104,-6.5,-6.5,193.0,193.5,win,over
2015_16,2015-10-28,Utah,Detroit,87,92,2.0,-0.0,188.0,191.0,loss,under
2015_16,2015-10-28,SanAntonio,OklahomaCity,106,112,-5.0,-4.0,208.0,207.0,win,over
2015_16,2015-10-28,NewYork,Milwaukee,122,97,-6.5,-4.5,192.5,194.5,loss,over
2015_16,2015-10-28,Denver,Houston,105,85,-10.0,-10.5,212.5,211.5,loss,under
2015_16,2015-10-28,Cleveland,Memphis,106,76,-6.0,-5.0,188.5,189.0,loss,under
2015_16,2015-10-28,NewOrleans,Portland,94,112,-2.5,-2.0,206.0,206.5,win,under
2015_16,2015-10-28,Dallas,Phoenix,111,95,-4.5,-6.0,204.0,203.0,loss,over
2015_16,2015-10-28,LAClippers,Sacramento,111,104,5.0,5.5,210.5,212.0,win,over
2015_16,2015-10-28,Minnesota,LALakers,112,111,-3.5,-2.5,202.5,202.5,loss,over
2015_16,2015-10-29,Memphis,Indiana,112,103,3.0,3.0,185.0,191.0,win,over
2015_16,2015-10-29,Atlanta,NewYork,112,101,4.0,4.5,196.0,199.0,win,over
2015_16,2015-10-29,Dallas,LAClippers,88,104,-9.0,-12.0,211.5,212.5,win,under
