season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2020_21,2020-12-22,GoldenState,Brooklyn,99,125,-5.5,-7.5,228.0,234.5,win,under
2020_21,2020-12-22,LAClippers,LALakers,116,109,-2.5,-2.0,223.0,219.0,loss,over
2020_21,2020-12-23,Charlotte,Cleveland,114,121,-1.0,3.0,215.0,217.0,loss,over
2020_21,2020-12-23,NewYork,Indiana,107,121,-8.5,-7.5,214.5,215.5,win,over
2020_21,2020-12-23,Miami,Orlando,107,113,3.5,4.5,220.5,219.0,loss,over
2020_21,2020-12-23,Washington,Philadelphia,107,113,-7.5,-7.0,229.0,230.5,loss,under
2020_21,2020-12-23,Milwaukee,Boston,121,122,2.5,4.5,226.0,223.0,loss,over
2020_21,2020-12-23,NewOrleans,Toronto,113,99,-5.0,-3.5,230.0,228.5,loss,under
2020_21,2020-12-23,Atlanta,Chicago,124,104,1.5,2.0,227.0,234.0,win,under
2020_21,2020-12-23,SanAntonio,Memphis,131,119,-3.0,-2.0,231.5,230.0,loss,over
2020_21,2020-12-23,Detroit,Minnesota,101,111,-5.5,-5.5,227.0,224.5,win,under
2020_21,2020-12-23,Sacramento,Denver,124,122,-8.0,-7.5,224.5,227.5,loss,over
2020_21,2020-12-23,Utah,Portland,120,100,-1.5,1.5,229.0,226.0,win,under
2020_21,2020-12-23,Dallas,Phoenix,102,106,-0.0,-1.5,237.0,232.5,win,under
2020_21,2020-12-25,NewOrleans,Miami,98,111,-5.0,-3.0,229.0,221.0,win,under
2020_21,2020-12-25,GoldenState,Milwaukee,99,138,-8.5,-10.0,233.5,230.5,win,over
2020_21,2020-12-25,Brooklyn,Boston,123,95,-0.0,3.0,227.0,229.5,win,under
2020_21,2020-12-25,Dallas,LALakers,115,138,-6.5,-6.0,230.0,226.0,win,over
2020_21,2020-12-25,LAClippers,Denver,121,108,2.0,3.5,222.0,226.5,win,over
2020_21,2020-12-26,Atlanta,Memphis,122,112,1.0,-2.5,237.5,238.5,loss,under
2020_21,2020-12-26,Cleveland,Detroit,128,119,-3.0,-0.0,220.0,214.0,win,over
2020_21,2020-12-26,Orlando,Washington,130,120,-1.0,-1.5,228.5,232.0,loss,over
2020_21,2020-12-26,OklahomaCity,Charlotte,109,107,-3.0,-3.0,218.5,219.5,loss,under
2020_21,2020-12-26,Philadelphia,NewYork,109,89,8.0,8.0,219.0,215.0,win,under
2020_21,2020-12-26,Indiana,Chicago,125,106,3.0,6.0,222.5,223.5,win,over
2020_21,2020-12-26,Toronto,SanAntonio,114,119,2.0,2.5,225.5,228.5,loss,over
2020_21,2020-12-26,Minnesota,Utah,116,111,-8.0,-9.5,225.5,229.0,loss,under
2020_21,2020-12-26,Phoenix,Sacramento,103,106,4.5,3.5,230.0,227.0,loss,under
2020_21,2020-12-26,Houston,Portland,126,128,-8.5,-7.5,225.0,225.5,loss,over
2020_21,2020-12-27,Dallas,LAClippers,124,73,-4.5,-3.0,230.0,226.5,loss,under
2020_21,2020-12-27,SanAntonio,NewOrleans,95,98,-5.5,-5.0,226.5,227.5,loss,under
2020_21,2020-12-27,Orlando,Washington,120,113,-1.5,2.0,225.5,231.0,win,over
2020_21,2020-12-27,Brooklyn,Charlotte,104,106,7.5,11.5,224.0,233.0,loss,under
2020_21,2020-12-27,Philadelphia,Cleveland,94,118,5.5,6.0,218.5,218.0,loss,under
2020_21,2020-12-27,Milwaukee,NewYork,110,130,11.0,13.0,223.5,222.0,loss,over
2020_21,2020-12-27,Boston,Indiana,107,108,-3.0,3.0,219.0,220.5,loss,under
2020_21,2020-12-27,GoldenState,Chicago,129,128,2.0,3.5,226.0,229.5,loss,over
2020_21,2020-12-27,Phoenix,Sacramento,116,100,3.5,3.0,224.5,225.5,win,under
2020_21,2020-12-28,Minnesota,LALakers,91,127,-11.0,-10.5,224.0,229.0,win,under
2020_21,2020-12-28,Memphis,Brooklyn,116,111,-7.0,1.5,235.0,227.5,win,under
2020_21,2020-12-28,Detroit,Atlanta,120,128,-8.5,-10.5,226.5,223.5,loss,over
2020_21,2020-12-28,Utah,OklahomaCity,110,109,5.0,9.0,221.0,218.0,loss,over
2020_21,2020-12-28,Houston,Denver,111,124,-9.0,-6.5,225.5,222.0,win,over
2020_21,2020-12-28,Portland,LALakers,115,107,-4.5,-6.0,227.5,229.0,loss,under
2020_21,2020-12-29,Boston,Indiana,116,111,1.0,-1.0,220.0,219.0,loss,over
2020_21,2020-12-29,Chicago,Washington,115,107,-4.5,-6.5,232.5,238.0,loss,under
2020_21,2020-12-29,GoldenState,Detroit,116,106,3.5,4.5,222.5,227.5,win,under
2020_21,2020-12-29,Toronto,Philadelphia,93,100,-0.0,-1.5,218.5,219.5,win,under
2020_21,2020-12-29,NewYork,Cleveland,95,86,-4.5,-3.5,219.5,216.0,loss,under
2020_21,2020-12-29,Milwaukee,Miami,144,97,5.0,6.0,222.5,227.5,win,over
2020_21,2020-12-29,Orlando,OklahomaCity,118,107,5.0,6.5,219.5,219.0,win,over
2020_21,2020-12-29,Minnesota,LAClippers,101,124,-6.5,-10.5,229.5,225.5,win,under
2020_21,2020-12-29,NewOrleans,Phoenix,86,111,-3.0,-1.5,223.0,222.0,win,under
2020_21,2020-12-29,Denver,Sacramento,115,125,3.0,-1.0,223.5,226.0,win,over
2020_21,2020-12-30,Memphis,Boston,107,126,-8.5,-7.0,224.0,218.0,win,over
2020_21,2020-12-30,Milwaukee,Miami,108,119,6.0,6.5,227.5,228.5,loss,under
2020_21,2020-12-30,Atlanta,Brooklyn,141,145,-6.5,-5.5,240.0,240.0,loss,over
2020_21,2020-12-30,Charlotte,Dallas,118,99,-8.5,-8.0,223.5,225.0,loss,under
2020_21,2020-12-30,LALakers,SanAntonio,121,107,6.5,7.5,229.5,231.5,win,under
2020_21,2020-12-30,Portland,LAClippers,105,128,-3.5,-6.0,229.0,226.0,win,over
2020_21,2020-12-31,Cleveland,Indiana,99,119,-8.5,-8.0,217.0,219.0,win,under
2020_21,2020-12-31,Chicago,Washington,133,130,-5.0,-7.5,234.5,235.5,loss,over
2020_21,2020-12-31,Philadelphia,Orlando,116,92,2.0,4.0,217.0,219.5,win,under
2020_21,2020-12-31,Sacramento,Houston,119,122,-3.0,-5.5,227.0,231.5,loss,over
2020_21,2020-12-31,NewYork,Toronto,83,100,-9.5,-8.5,217.5,215.5,win,under
2020_21,2020-12-31,NewOrleans,OklahomaCity,113,80,4.5,5.5,214.5,214.5,win,under
2020_21,2020-12-31,Phoenix,Utah,106,95,-4.0,-4.0,220.0,219.5,loss,under
2020_21,2021-01-01,Boston,Detroit,93,96,9.5,8.5,215.5,213.5,loss,under
2020_21,2021-01-01,Miami,Dallas,83,93,-1.0,1.5,222.5,225.0,loss,under
2020_21,2021-01-01,Memphis,Charlotte,108,93,-2.0,-4.0,220.0,219.5,loss,under
2020_21,2021-01-01,Atlanta,Brooklyn,114,96,-6.0,-6.0,247.0,244.5,loss,under
2020_21,2021-01-01,Washington,Minnesota,130,109,-1.0,1.0,232.5,234.5,win,over
2020_21,2021-01-01,LALakers,SanAntonio,109,103,7.0,7.5,230.5,229.0,loss,under
2020_21,2021-01-01,Chicago,Milwaukee,96,126,-14.0,-14.5,230.0,233.0,win,under
2020_21,2021-01-01,Phoenix,Denver,106,103,-4.5,-3.5,225.0,220.5,loss,under
2020_21,2021-01-01,LAClippers,Utah,100,106,2.0,3.0,225.5,219.5,loss,under
2020_21,2021-01-01,Portland,GoldenState,123,98,4.0,3.5,230.5,237.5,win,under
2020_21,2021-01-02,Sacramento,Houston,94,102,-4.0,2.0,233.0,229.0,loss,under
2020_21,2021-01-02,Charlotte,Philadelphia,112,127,-9.5,-10.0,213.5,217.0,win,over
2020_21,2021-01-02,OklahomaCity,Orlando,108,99,-7.5,-4.5,218.5,216.5,loss,under
2020_21,2021-01-02,NewYork,Indiana,106,102,-9.0,-9.5,215.0,215.0,loss,under
2020_21,2021-01-02,Toronto,NewOrleans,116,120,1.0,1.0,216.0,215.5,loss,over
2020_21,2021-01-02,Cleveland,Atlanta,96,91,-6.5,-5.5,234.5,229.0,loss,under
2020_21,2021-01-03,Boston,Detroit,122,120,8.0,8.0,213.5,212.0,loss,over
2020_21,2021-01-03,Washington,Brooklyn,123,122,-8.5,-7.5,242.5,241.5,loss,over
2020_21,2021-01-03,LALakers,Memphis,108,94,10.5,10.0,222.5,220.0,win,under
2020_21,2021-01-03,Utah,SanAntonio,130,109,4.0,5.5,219.5,222.5,win,over
2020_21,2021-01-03,Denver,Minnesota,124,109,8.5,8.5,231.0,226.0,win,over
2020_21,2021-01-03,LAClippers,Phoenix,112,107,1.5,3.5,218.0,215.5,win,over
2020_21,2021-01-03,Dallas,Chicago,108,118,5.5,4.0,225.0,222.0,loss,over
2020_21,2021-01-03,Portland,GoldenState,122,137,4.5,4.5,234.5,235.0,loss,over
2020_21,2021-01-04,Charlotte,Philadelphia,101,118,-9.5,-8.0,218.0,221.5,win,under
2020_21,2021-01-04,Cleveland,Orlando,83,103,-5.0,-6.0,217.0,214.5,win,under
2020_21,2021-01-04,OklahomaCity,Miami,90,118,-8.0,-9.0,212.5,214.5,win,under
2020_21,2021-01-04,NewYork,Atlanta,113,108,-6.0,-7.0,223.0,224.5,loss,under
2020_21,2021-01-04,Boston,Toronto,126,114,-2.5,-6.0,214.0,217.0,loss,over
2020_21,2021-01-04,Dallas,Houston,113,100,-3.0,-4.0,228.0,229.5,loss,under
2020_21,2021-01-04,Indiana,NewOrleans,118,116,-0.0,-1.5,218.0,216.0,loss,over
2020_21,2021-01-04,Detroit,Milwaukee,115,125,-15.0,-16.0,225.0,223.5,loss,over
2020_21,2021-01-04,Sacramento,GoldenState,106,137,2.0,1.5,232.0,235.0,loss,over
2020_21,2021-01-05,Utah,Brooklyn,96,130,-3.0,4.5,231.5,225.0,loss,over
2020_21,2021-01-05,LALakers,Memphis,94,92,9.5,9.5,218.0,219.0,loss,under
2020_21,2021-01-05,Minnesota,Denver,116,123,-12.0,-10.5,228.0,226.5,loss,over
2020_21,2021-01-05,SanAntonio,LAClippers,116,113,-8.0,-7.0,227.0,226.0,loss,over
2020_21,2021-01-05,Chicago,Portland,111,108,-10.0,-9.5,233.5,232.5,loss,under
2020_21,2021-01-06,Houston,Indiana,107,114,-1.5,-3.0,226.0,224.0,win,under
2020_21,2021-01-06,Washington,Philadelphia,136,141,-8.0,-6.5,231.0,235.0,loss,over
2020_21,2021-01-06,Cleveland,Orlando,94,105,-6.0,-5.0,213.0,214.0,win,under
2020_21,2021-01-06,Boston,Miami,107,105,-3.5,-2.5,218.0,217.5,loss,under
2020_21,2021-01-06,Charlotte,Atlanta,102,94,-6.5,-6.0,231.0,232.5,loss,under
2020_21,2021-01-06,Utah,NewYork,100,112,6.0,8.0,215.0,214.5,loss,under
2020_21,2021-01-06,OklahomaCity,NewOrleans,111,110,-8.0,-8.0,213.0,213.5,loss,over
2020_21,2021-01-06,Detroit,Milwaukee,115,130,-13.5,-11.5,227.0,226.5,win,over
2020_21,2021-01-06,Toronto,Phoenix,115,123,-1.5,-3.0,217.0,219.0,win,over
2020_21,2021-01-06,Chicago,Sacramento,124,128,-6.0,-6.5,232.0,228.5,loss,over
2020_21,2021-01-06,LAClippers,GoldenState,108,101,4.0,5.0,234.0,231.0,win,under
2020_21,2021-01-07,Philadelphia,Brooklyn,109,122,3.0,4.0,224.0,222.5,loss,over
