season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2016_17,2016-10-25,NewYork,Cleveland,88,117,-9.5,-9.0,205.5,206.0,win,under
2016_17,2016-10-25,Utah,Portland,104,113,-6.0,-5.5,194.0,192.0,win,over
2016_17,2016-10-25,SanAntonio,GoldenState,129,100,-8.0,-8.0,210.5,212.0,loss,over
2016_17,2016-10-26,Miami,Orlando,108,96,-4.0,-3.0,202.0,200.0,loss,over
2016_17,2016-10-26,Dallas,Indiana,121,130,-5.0,-5.5,207.5,204.5,win,over
2016_17,2016-10-26,Detroit,Toronto,91,109,-7.0,-6.0,195.0,197.0,win,over
2016_17,2016-10-26,Brooklyn,Boston,117,122,-14.0,-11.5,209.0,212.5,loss,over
2016_17,2016-10-26,Minnesota,Memphis,98,102,-3.5,1.5,197.0,199.0,loss,over
2016_17,2016-10-26,Charlotte,Milwaukee,107,96,0.0,1.5,196.0,195.0,win,over
2016_17,2016-10-26,OklahomaCity,Philadelphia,103,97,7.0,9.0,208.0,209.5,loss,under
2016_17,2016-10-26,Denver,NewOrleans,107,102,-4.0,-1.5,208.5,206.0,loss,over
2016_17,2016-10-26,Sacramento,Phoenix,113,94,-3.0,-3.0,210.0,211.5,loss,under
2016_17,2016-10-26,Houston,LALakers,114,120,5.0,6.0,220.0,225.0,loss,over
2016_17,2016-10-27,Washington,Atlanta,99,114,-2.5,-3.5,203.5,201.5,win,over
2016_17,2016-10-27,Boston,Chicago,99,105,1.0,-1.0,210.5,208.5,win,under
2016_17,2016-10-27,LAClippers,Portland,114,106,1.5,2.5,208.5,210.0,win,over
2016_17,2016-10-27,SanAntonio,Sacramento,102,94,8.0,7.5,206.0,203.0,win,under
2016_17,2016-10-28,Cleveland,Toronto,94,91,3.0,2.5,204.5,205.5,win,under
2016_17,2016-10-28,Orlando,Detroit,82,108,-4.0,-4.0,197.0,195.0,win,under
2016_17,2016-10-28,Indiana,Brooklyn,94,103,6.5,5.5,211.5,218.5,loss,under
2016_17,2016-10-28,Phoenix,OklahomaCity,110,113,-10.5,-7.5,211.0,209.0,loss,over
2016_17,2016-10-28,Charlotte,Miami,97,91,-1.5,1.5,198.0,197.0,win,under
2016_17,2016-10-28,Houston,Dallas,106,98,-2.0,2.0,217.0,218.5,win,under
2016_17,2016-10-28,LALakers,Utah,89,96,-9.5,-9.0,199.0,202.0,loss,under
2016_17,2016-10-28,GoldenState,NewOrleans,122,114,9.5,12.5,217.0,223.5,loss,over
2016_17,2016-10-29,Atlanta,Philadelphia,104,72,6.5,7.5,204.0,202.0,win,under
2016_17,2016-10-29,Boston,Charlotte,104,98,-0.0,2.5,206.0,202.5,win,under
2016_17,2016-10-29,Orlando,Cleveland,99,105,-11.5,-11.0,207.0,204.5,loss,under
2016_17,2016-10-29,Memphis,NewYork,104,111,-2.5,-3.0,200.0,198.5,win,over
2016_17,2016-10-29,Brooklyn,Milwaukee,108,110,-6.5,-8.0,206.0,205.0,loss,over
