season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2014_15,2014-10-28,Dallas,SanAntonio,100,101,-6.0,-3.5,206.5,203.5,loss,under
2014_15,2014-10-28,Orlando,NewOrleans,84,101,-9.5,-9.0,196.0,191.0,win,under
2014_15,2014-10-28,Houston,LALakers,108,90,6.5,7.0,209.0,207.0,win,under
2014_15,2014-10-29,Milwaukee,Charlotte,106,108,-9.0,-8.0,192.0,193.0,loss,over
2014_15,2014-10-29,Philadelphia,Indiana,91,103,-8.5,-7.5,194.0,189.5,win,over
2014_15,2014-10-29,Brooklyn,Boston,105,121,1.5,-0.0,191.0,194.0,loss,over
2014_15,2014-10-29,Atlanta,Toronto,102,109,-5.5,-4.5,199.5,198.5,win,over
2014_15,2014-10-29,Washington,Miami,95,107,-4.5,-5.0,194.0,188.0,win,over
2014_15,2014-10-29,Chicago,NewYork,104,80,4.0,4.5,190.0,184.0,win,under
2014_15,2014-10-29,Minnesota,Memphis,101,105,-8.5,-7.5,198.0,197.5,loss,over
2014_15,2014-10-29,Detroit,Denver,79,89,-7.5,-6.5,211.0,205.5,win,under
2014_15,2014-10-29,Houston,Utah,104,93,4.5,3.0,203.0,202.0,win,under
2014_15,2014-10-29,LALakers,Phoenix,99,119,-8.5,-12.0,207.0,208.5,win,over
2014_15,2014-10-29,GoldenState,Sacramento,95,77,4.0,4.5,204.5,206.0,win,under
2014_15,2014-10-29,OklahomaCity,Portland,89,106,-4.5,-9.0,201.5,198.5,win,under
2014_15,2014-10-30,Washington,Orlando,105,98,5.0,4.5,189.0,188.0,win,over
2014_15,2014-10-30,NewYork,Cleveland,95,90,-10.0,-13.0,199.0,203.0,loss,under
2014_15,2014-10-30,Detroit,Minnesota,91,97,-3.5,-5.5,205.0,204.5,win,under
2014_15,2014-10-30,Utah,Dallas,102,120,-9.5,-10.5,202.5,203.0,win,over
2014_15,2014-10-30,OklahomaCity,LAClippers,90,93,-9.5,-13.0,202.0,205.5,loss,under
2014_15,2014-10-31,Memphis,Indiana,97,89,5.5,6.5,186.0,185.5,win,over
2014_15,2014-10-31,Cleveland,Chicago,114,108,-2.5,-4.0,193.5,193.0,loss,over
2014_15,2014-10-31,Philadelphia,Milwaukee,81,93,-8.0,-8.5,200.0,204.0,win,under
2014_15,2014-10-31,Portland,Sacramento,94,103,5.5,4.5,201.0,198.5,loss,under
2014_15,2014-10-31,SanAntonio,Phoenix,89,94,1.5,0.0,206.0,208.5,loss,under
2014_15,2014-10-31,LAClippers,LALakers,118,111,11.5,11.5,210.0,210.0,loss,over
2014_15,2014-11-01,Memphis,Charlotte,71,69,-2.5,-3.0,188.5,186.5,loss,under
2014_15,2014-11-01,Dallas,NewOrleans,109,104,-1.0,-0.0,202.0,203.5,win,over
2014_15,2014-11-01,Toronto,Orlando,108,95,7.0,5.5,196.0,196.5,win,over
2014_15,2014-11-01,Miami,Philadelphia,114,96,8.5,9.0,199.5,195.5,win,over
2014_15,2014-11-01,Milwaukee,Washington,97,108,-8.5,-9.0,197.5,197.0,win,over
2014_15,2014-11-01,Brooklyn,Detroit,102,90,-3.5,-3.0,197.5,195.5,loss,under
2014_15,2014-11-01,Indiana,Atlanta,92,102,-9.5,-11.0,193.0,193.5,loss,over
2014_15,2014-11-01,Chicago,Minnesota,106,105,4.5,2.0,192.0,191.0,loss,over
2014_15,2014-11-01,Boston,Houston,90,104,-8.0,-7.5,205.5,208.5,win,under
2014_15,2014-11-01,Denver,OklahomaCity,91,102,5.5,4.5,196.0,193.0,loss,under
2014_15,2014-11-01,Phoenix,Utah,91,118,2.0,2.0,205.5,203.5,loss,over
2014_15,2014-11-01,LALakers,GoldenState,104,127,-15.5,-14.0,207.0,210.5,win,over
2014_15,2014-11-02,Sacramento,LAClippers,98,92,-10.5,-9.0,206.5,205.0,loss,under
2014_15,2014-11-02,Toronto,Miami,102,107,-3.5,-2.0,196.0,197.5,win,over
2014_15,2014-11-02,Charlotte,NewYork,93,96,-2.0,-3.5,190.5,185.0,loss,over
2014_15,2014-11-02,GoldenState,Portland,95,90,-3.5,-3.5,203.0,208.0,loss,under
2014_15,2014-11-03,Houston,Philadelphia,104,93,10.0,11.0,205.0,200.5,loss,under
2014_15,2014-11-03,OklahomaCity,Brooklyn,85,116,-7.0,-6.5,193.0,192.5,win,over
2014_15,2014-11-03,NewOrleans,Memphis,81,93,-6.0,-4.0,188.5,187.0,win,under
2014_15,2014-11-03,Boston,Dallas,113,118,-9.0,-9.0,208.0,208.5,loss,over
2014_15,2014-11-03,Sacramento,Denver,110,105,-8.0,-6.5,203.0,201.5,loss,over
2014_15,2014-11-03,Utah,LAClippers,101,107,-9.5,-10.0,206.5,203.5,loss,over
2014_15,2014-11-04,Milwaukee,Indiana,87,81,-3.0,-4.0,192.0,191.5,loss,under
2014_15,2014-11-04,OklahomaCity,Toronto,88,100,-9.0,-11.5,192.0,192.5,win,under
2014_15,2014-11-04,Washington,NewYork,98,83,-2.0,2.0,191.0,190.5,win,under
2014_15,2014-11-04,Houston,Miami,108,91,-0.0,-2.5,201.0,205.0,loss,under
2014_15,2014-11-04,Orlando,Chicago,90,98,-13.0,-10.0,188.5,189.0,loss,under
2014_15,2014-11-04,Charlotte,NewOrleans,91,100,-3.0,-4.0,191.5,190.0,win,over
2014_15,2014-11-04,Cleveland,Portland,82,101,1.5,2.5,200.5,209.5,loss,under
2014_15,2014-11-04,Phoenix,LALakers,112,106,6.0,6.0,215.0,213.0,loss,over
2014_15,2014-11-05,Orlando,Philadelphia,91,89,1.0,3.0,195.0,196.5,loss,under
2014_15,2014-11-05,Miami,Charlotte,89,96,-2.5,-1.5,192.5,190.0,win,under
2014_15,2014-11-05,Toronto,Boston,110,107,0.0,-2.0,204.0,203.0,loss,over
2014_15,2014-11-05,Minnesota,Brooklyn,98,91,-5.0,-5.0,205.0,208.5,loss,under
2014_15,2014-11-05,NewYork,Detroit,95,98,-4.0,-4.0,190.0,186.0,loss,over
2014_15,2014-11-05,Indiana,Washington,94,96,-8.5,-9.0,193.5,187.5,loss,over
2014_15,2014-11-05,Chicago,Milwaukee,95,86,7.0,5.0,193.5,191.0,win,under
2014_15,2014-11-05,Atlanta,SanAntonio,92,94,-8.5,-8.0,203.0,202.0,loss,under
2014_15,2014-11-05,Memphis,Phoenix,102,91,-1.0,-1.5,195.0,192.5,loss,over
2014_15,2014-11-05,Cleveland,Utah,100,102,6.0,5.5,202.0,207.0,loss,under
2014_15,2014-11-05,Denver,Sacramento,109,131,-2.0,-3.5,202.5,206.0,win,over
2014_15,2014-11-05,LAClippers,GoldenState,104,121,-3.5,-5.0,208.5,211.5,win,over
2014_15,2014-11-06,SanAntonio,Houston,81,98,-3.0,-6.5,201.5,196.5,win,under
2014_15,2014-11-06,Dallas,Portland,87,108,-3.0,-2.0,206.5,210.0,win,under
2014_15,2014-11-07,Atlanta,Charlotte,119,122,-3.0,-1.5,191.0,194.5,win,over
2014_15,2014-11-07,Minnesota,Orlando,103,112,4.0,4.0,200.5,203.0,loss,over
2014_15,2014-11-07,Chicago,Philadelphia,118,115,11.5,10.0,190.5,189.0,loss,over
2014_15,2014-11-07,Indiana,Boston,98,101,-5.5,-5.5,194.0,191.0,loss,over
2014_15,2014-11-07,NewYork,Brooklyn,99,110,-5.5,-6.0,192.5,192.5,win,over
2014_15,2014-11-07,Milwaukee,Detroit,95,98,-5.5,-5.0,193.5,195.0,loss,under
2014_15,2014-11-07,Washington,Toronto,84,103,-4.5,-3.5,197.0,195.0,win,under
2014_15,2014-11-07,Memphis,OklahomaCity,91,89,7.5,7.0,185.5,181.5,loss,under
2014_15,2014-11-07,Sacramento,Phoenix,114,112,-4.0,-5.0,205.5,209.0,loss,over
