season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2017_18,2017-10-17,Boston,Cleveland,99,102,-4.0,-4.5,214.5,216.0,loss,under
2017_18,2017-10-17,Houston,GoldenState,122,121,-9.0,-9.0,232.0,231.5,loss,over
2017_18,2017-10-18,Brooklyn,Indiana,131,140,-3.5,-3.0,212.0,216.5,win,over
2017_18,2017-10-18,Philadelphia,Washington,115,120,-6.5,-6.5,215.5,217.5,loss,over
2017_18,2017-10-18,Miami,Orlando,109,116,3.0,3.5,207.0,205.5,loss,over
2017_18,2017-10-18,Charlotte,Detroit,90,102,-3.0,-2.5,204.0,202.0,win,under
2017_18,2017-10-18,Milwaukee,Boston,108,100,-6.0,-1.5,208.5,203.0,loss,over
2017_18,2017-10-18,NewOrleans,Memphis,91,103,-3.0,-2.0,205.0,204.5,win,under
2017_18,2017-10-18,Atlanta,Dallas,117,111,-6.5,-5.5,199.5,199.0,loss,over
2017_18,2017-10-18,Denver,Utah,96,106,-2.0,-2.5,209.0,205.0,win,under
2017_18,2017-10-18,Minnesota,SanAntonio,99,107,-3.0,-1.5,207.0,203.5,win,over
2017_18,2017-10-18,Houston,Sacramento,105,100,9.0,7.0,218.5,216.5,loss,under
2017_18,2017-10-18,Portland,Phoenix,124,76,1.0,2.5,220.0,219.5,win,under
2017_18,2017-10-19,Chicago,Toronto,101,117,-12.0,-14.0,206.0,206.5,win,over
2017_18,2017-10-19,NewYork,OklahomaCity,84,105,-11.5,-12.5,213.0,215.5,win,under
2017_18,2017-10-19,LAClippers,LALakers,108,92,4.5,6.5,218.5,219.0,win,under
2017_18,2017-10-20,Boston,Philadelphia,102,92,1.0,-3.0,216.5,217.0,loss,under
2017_18,2017-10-20,Atlanta,Charlotte,91,109,-6.0,-4.5,202.5,205.5,win,under
2017_18,2017-10-20,Detroit,Washington,111,115,-6.5,-6.5,210.5,211.5,loss,over
2017_18,2017-10-20,Cleveland,Milwaukee,116,97,1.5,-1.0,210.0,209.5,loss,over
2017_18,2017-10-20,Portland,Indiana,114,96,3.5,6.0,219.0,218.5,win,under
2017_18,2017-10-20,Orlando,Brooklyn,121,126,-1.0,-2.0,220.0,226.0,win,over
2017_18,2017-10-20,Utah,Minnesota,97,100,-5.5,-5.0,200.0,197.0,loss,under
2017_18,2017-10-20,Sacramento,Dallas,93,88,-5.5,-6.0,203.0,201.5,loss,under
