season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2011_12,2011-12-25,Boston,NewYork,104,106,-5.0,-4.5,195.5,189.0,loss,over
2011_12,2011-12-25,Miami,Dallas,105,94,3.5,4.5,190.5,190.0,win,over
2011_12,2011-12-25,Chicago,LALakers,88,87,1.5,5.0,186.0,183.5,loss,under
2011_12,2011-12-25,Orlando,OklahomaCity,89,97,-7.5,-7.5,197.0,194.5,win,under
2011_12,2011-12-25,LAClippers,GoldenState,105,86,4.0,4.5,212.0,209.0,win,under
2011_12,2011-12-26,NewJersey,Washington,90,84,-4.5,-3.5,191.5,189.0,loss,under
2011_12,2011-12-26,Milwaukee,Charlotte,95,96,-0.0,4.0,180.5,178.0,loss,over
2011_12,2011-12-26,Houston,Orlando,95,104,-5.5,-6.5,201.0,194.5,win,over
2011_12,2011-12-26,Toronto,Cleveland,104,96,-3.5,-2.0,198.5,194.0,loss,over
2011_12,2011-12-26,Detroit,Indiana,79,91,-7.0,-8.0,198.0,192.0,win,under
2011_12,2011-12-26,OklahomaCity,Minnesota,104,100,6.0,5.5,209.0,206.5,loss,under
2011_12,2011-12-26,Denver,Dallas,115,93,-5.0,-4.5,202.5,200.5,loss,over
2011_12,2011-12-26,Memphis,SanAntonio,82,95,-5.5,-5.0,196.0,193.0,win,under
2011_12,2011-12-26,NewOrleans,Phoenix,85,84,-7.0,-6.0,195.0,191.5,loss,under
2011_12,2011-12-26,LALakers,Sacramento,91,100,3.5,3.0,200.0,193.5,loss,under
2011_12,2011-12-26,Philadelphia,Portland,103,107,-4.5,-5.0,189.0,187.0,loss,over
2011_12,2011-12-26,Chicago,GoldenState,91,99,5.5,6.5,197.0,190.5,loss,under
2011_12,2011-12-27,Atlanta,NewJersey,106,70,5.0,4.0,184.0,176.5,win,under
2011_12,2011-12-27,Boston,Miami,107,115,-11.0,-9.5,187.0,187.0,loss,over
2011_12,2011-12-27,Minnesota,Milwaukee,95,98,-6.0,-5.5,192.0,192.5,loss,over
2011_12,2011-12-27,Sacramento,Portland,79,101,-8.0,-8.5,196.0,196.5,win,under
2011_12,2011-12-27,Utah,LALakers,71,96,-6.0,-5.5,188.5,188.5,win,under
2011_12,2011-12-28,Indiana,Toronto,90,85,2.5,4.0,195.0,193.5,win,under
2011_12,2011-12-28,Miami,Charlotte,96,95,11.0,11.0,185.0,195.0,loss,under
2011_12,2011-12-28,Washington,Atlanta,83,101,-9.5,-8.5,186.0,185.5,win,under
2011_12,2011-12-28,Cleveland,Detroit,105,89,-6.0,-5.5,191.0,187.0,loss,over
2011_12,2011-12-28,Boston,NewOrleans,78,97,1.5,4.5,175.5,174.0,loss,over
2011_12,2011-12-28,OklahomaCity,Memphis,98,95,1.0,1.0,195.0,192.0,win,over
2011_12,2011-12-28,LAClippers,SanAntonio,90,115,-4.0,-4.5,196.0,198.5,win,over
2011_12,2011-12-28,Utah,Denver,100,117,-9.0,-12.5,203.0,200.5,win,over
2011_12,2011-12-28,Philadelphia,Phoenix,103,83,-0.0,1.5,199.0,197.0,win,under
2011_12,2011-12-28,NewYork,GoldenState,78,92,2.5,6.0,204.0,208.5,loss,under
2011_12,2011-12-29,NewJersey,Orlando,78,94,-12.0,-11.5,182.0,181.0,win,under
2011_12,2011-12-29,SanAntonio,Houston,85,105,-1.0,3.0,197.0,197.5,loss,under
2011_12,2011-12-29,Dallas,OklahomaCity,102,104,-7.5,-5.0,196.5,195.0,loss,over
2011_12,2011-12-29,Denver,Portland,102,111,-5.0,-6.0,199.0,202.0,win,over
2011_12,2011-12-29,Chicago,Sacramento,108,98,8.0,8.0,186.5,188.0,win,over
2011_12,2011-12-29,NewYork,LALakers,82,99,-4.5,-3.5,199.0,195.0,win,under
2011_12,2011-12-30,Orlando,Charlotte,100,79,5.5,4.0,186.5,183.5,win,under
2011_12,2011-12-30,Cleveland,Indiana,91,98,-9.5,-9.5,187.0,193.5,loss,under
2011_12,2011-12-30,Detroit,Boston,85,96,-10.5,-10.0,184.0,182.0,win,under
2011_12,2011-12-30,NewJersey,Atlanta,98,105,-11.5,-11.5,175.5,177.5,loss,over
2011_12,2011-12-30,Miami,Minnesota,103,101,9.0,8.5,204.5,209.5,loss,under
2011_12,2011-12-30,Houston,Memphis,93,113,-5.0,-6.5,194.0,196.0,win,over
2011_12,2011-12-30,Phoenix,NewOrleans,93,78,-3.0,-2.5,187.5,182.5,loss,under
2011_12,2011-12-30,Toronto,Dallas,86,99,-9.5,-8.5,196.0,192.0,win,under
2011_12,2011-12-30,Washington,Milwaukee,81,102,-9.0,-8.5,183.5,185.5,win,under
2011_12,2011-12-30,Philadelphia,Utah,99,102,4.0,5.0,192.5,191.5,loss,over
2011_12,2011-12-30,Chicago,LAClippers,114,101,-1.0,1.0,189.5,191.5,win,over
2011_12,2011-12-31,Denver,LALakers,89,92,-5.5,-5.0,200.0,198.0,loss,under
2011_12,2011-12-31,Indiana,Detroit,88,96,3.5,2.5,183.0,181.5,loss,over
2011_12,2011-12-31,Atlanta,Houston,84,95,-1.0,-1.0,188.0,193.0,win,under
2011_12,2011-12-31,NewYork,Sacramento,114,92,1.5,1.0,198.5,201.5,win,over
2011_12,2011-12-31,Phoenix,OklahomaCity,97,107,-13.0,-11.5,198.5,201.5,loss,over
2011_12,2011-12-31,Utah,SanAntonio,89,104,-14.0,-14.0,196.0,195.5,win,under
2011_12,2011-12-31,Philadelphia,GoldenState,107,79,1.5,2.0,191.0,191.0,win,under
2011_12,2012-01-01,Boston,Washington,94,86,7.0,7.0,184.5,187.0,win,under
2011_12,2012-01-01,NewJersey,Cleveland,82,98,-4.5,-2.5,186.0,186.0,win,under
2011_12,2012-01-01,Toronto,Orlando,96,102,-12.0,-12.0,186.5,185.5,loss,over
2011_12,2012-01-01,Charlotte,Miami,90,129,-15.0,-14.0,194.0,197.0,win,over
2011_12,2012-01-01,Dallas,Minnesota,82,99,3.5,2.5,204.0,201.5,loss,under
2011_12,2012-01-01,Memphis,Chicago,64,104,-8.0,-6.5,189.0,187.5,win,under
2011_12,2012-01-01,LALakers,Denver,90,99,-3.0,-5.5,199.0,199.0,win,under
2011_12,2012-01-01,NewOrleans,Sacramento,80,96,-3.5,-4.0,182.5,183.5,win,under
2011_12,2012-01-01,Portland,LAClippers,88,93,-3.5,-3.0,201.0,199.5,win,under
2011_12,2012-01-02,GoldenState,Phoenix,91,102,-4.0,-4.5,192.0,193.5,win,under
2011_12,2012-01-02,Toronto,NewYork,90,85,-8.0,-8.5,197.0,200.0,loss,under
2011_12,2012-01-02,Atlanta,Miami,100,92,-8.0,-9.5,195.0,193.5,loss,under
2011_12,2012-01-02,Indiana,NewJersey,108,94,4.5,6.0,180.0,180.0,win,over
2011_12,2012-01-02,Washington,Boston,92,100,-12.5,-11.0,185.0,188.0,loss,over
2011_12,2012-01-02,Orlando,Detroit,78,89,3.5,5.0,182.0,184.5,loss,under
2011_12,2012-01-02,SanAntonio,Minnesota,96,106,5.0,5.0,200.0,196.5,loss,over
2011_12,2012-01-02,OklahomaCity,Dallas,87,100,1.0,2.5,199.5,196.5,loss,under
2011_12,2012-01-02,Milwaukee,Denver,86,91,-6.0,-4.5,201.0,197.0,win,under
2011_12,2012-01-02,NewOrleans,Utah,90,94,-5.5,-6.5,181.0,179.5,loss,over
2011_12,2012-01-03,Charlotte,Cleveland,101,115,-5.0,-4.0,187.0,189.0,win,over
2011_12,2012-01-03,Portland,OklahomaCity,103,93,-5.5,-4.5,198.0,196.5,loss,under
2011_12,2012-01-03,Sacramento,Memphis,96,113,-8.5,-6.5,187.5,190.5,win,over
2011_12,2012-01-03,Atlanta,Chicago,74,76,-10.0,-10.0,185.0,183.0,loss,under
2011_12,2012-01-03,Milwaukee,Utah,73,85,-1.5,-1.5,191.0,186.5,win,under
2011_12,2012-01-03,Houston,LALakers,99,108,-7.0,-7.0,192.0,191.5,win,over
2011_12,2012-01-04,Cleveland,Toronto,77,92,-5.0,-5.0,190.0,191.0,win,under
2011_12,2012-01-04,Washington,Orlando,85,103,-13.5,-13.0,188.5,189.0,win,under
2011_12,2012-01-04,NewJersey,Boston,70,89,-12.0,-12.5,181.0,180.0,win,under
2011_12,2012-01-04,Indiana,Miami,83,118,-10.0,-7.5,195.0,197.5,win,over
2011_12,2012-01-04,Chicago,Detroit,99,83,6.0,6.5,183.0,180.5,win,over
2011_12,2012-01-04,Charlotte,NewYork,118,110,-13.0,-11.5,193.0,201.5,loss,over
2011_12,2012-01-04,Memphis,Minnesota,90,86,-2.5,-4.5,196.0,196.5,loss,under
2011_12,2012-01-04,Philadelphia,NewOrleans,101,93,3.5,5.5,182.0,181.5,win,over
2011_12,2012-01-04,GoldenState,SanAntonio,95,101,-8.0,-7.5,191.0,189.5,loss,over
2011_12,2012-01-04,Phoenix,Dallas,89,98,-8.5,-7.5,194.0,194.5,win,under
2011_12,2012-01-04,Sacramento,Denver,83,110,-10.0,-11.0,198.0,209.0,win,under
