season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2019_20,2019-10-22,NewOrleans,Toronto,122,130,-6.5,-6.5,231.5,229.5,win,over
2019_20,2019-10-22,LALakers,LAClippers,102,112,-1.5,3.5,227.0,224.0,loss,under
2019_20,2019-10-23,Detroit,Indiana,119,110,-5.0,-7.0,210.0,211.0,loss,over
2019_20,2019-10-23,Cleveland,Orlando,85,94,-7.5,-9.5,212.5,211.5,loss,under
2019_20,2019-10-23,Chicago,Charlotte,125,126,1.5,3.5,218.5,216.5,loss,over
2019_20,2019-10-23,Boston,Philadelphia,93,107,-6.0,-5.5,215.0,214.5,win,under
2019_20,2019-10-23,Memphis,Miami,101,120,-7.5,-6.5,210.5,213.0,win,over
2019_20,2019-10-23,Minnesota,Brooklyn,127,126,-5.0,-3.5,225.5,229.0,loss,over
2019_20,2019-10-23,NewYork,SanAntonio,111,120,-9.5,-11.0,214.0,214.5,loss,over
2019_20,2019-10-23,Washington,Dallas,100,108,-8.5,-9.0,223.0,220.0,loss,under
2019_20,2019-10-23,OklahomaCity,Utah,95,100,-9.5,-9.0,222.0,221.5,loss,under
2019_20,2019-10-23,Sacramento,Phoenix,95,124,2.5,1.0,233.0,232.5,loss,under
2019_20,2019-10-23,Denver,Portland,108,100,-2.5,1.5,219.5,217.5,win,under
2019_20,2019-10-24,Atlanta,Detroit,117,100,-1.5,-1.5,222.0,221.5,loss,under
2019_20,2019-10-24,Milwaukee,Houston,117,111,-2.0,-1.5,231.5,231.0,loss,under
2019_20,2019-10-24,LAClippers,GoldenState,141,122,-0.0,-0.0,225.0,229.5,win,over
2019_20,2019-10-25,Toronto,Boston,106,112,-3.0,-2.5,217.5,213.0,win,over
2019_20,2019-10-25,Minnesota,Charlotte,121,99,4.0,5.0,229.0,225.0,win,under
2019_20,2019-10-25,NewYork,Brooklyn,109,113,-8.5,-8.0,225.5,228.0,loss,under
2019_20,2019-10-25,Washington,OklahomaCity,97,85,-6.5,-8.5,218.5,218.0,loss,under
2019_20,2019-10-25,Dallas,NewOrleans,123,116,-2.0,-2.0,228.0,227.0,loss,over
2019_20,2019-10-25,Chicago,Memphis,110,102,-1.0,2.0,220.5,224.0,win,under
2019_20,2019-10-25,Phoenix,Denver,107,108,-11.5,-12.0,221.0,219.5,loss,under
2019_20,2019-10-25,Portland,Sacramento,122,112,-1.0,1.0,226.5,227.5,win,over
2019_20,2019-10-25,Utah,LALakers,86,95,-2.0,-3.5,218.0,215.5,win,under
2019_20,2019-10-26,Miami,Milwaukee,131,126,-9.5,-11.5,226.5,223.0,loss,over
2019_20,2019-10-26,Philadelphia,Detroit,117,111,5.0,4.5,214.0,213.0,win,over
2019_20,2019-10-26,Boston,NewYork,118,95,-1.0,5.5,210.0,218.5,win,under
2019_20,2019-10-26,Orlando,Atlanta,99,103,-0.0,2.5,219.0,216.5,loss,under
2019_20,2019-10-26,Indiana,Cleveland,99,110,5.5,4.5,213.5,213.0,loss,under
2019_20,2019-10-26,Toronto,Chicago,108,84,3.5,3.0,223.0,219.5,win,under
2019_20,2019-10-26,NewOrleans,Houston,123,126,-10.0,-12.0,236.0,238.5,loss,over
2019_20,2019-10-26,Washington,SanAntonio,122,124,-12.0,-11.5,218.0,219.5,loss,over
2019_20,2019-10-26,Sacramento,Utah,81,113,-9.5,-9.0,220.0,221.5,win,under
2019_20,2019-10-26,LAClippers,Phoenix,122,130,8.5,10.0,229.5,225.5,loss,over
2019_20,2019-10-27,GoldenState,OklahomaCity,92,120,1.5,-1.0,223.5,224.0,win,under
2019_20,2019-10-27,Brooklyn,Memphis,133,134,4.0,4.0,224.0,224.0,loss,over
2019_20,2019-10-27,Miami,Minnesota,109,116,-6.0,-7.0,223.5,224.0,loss,over
2019_20,2019-10-27,Portland,Dallas,121,119,-1.5,-2.5,222.0,219.0,loss,over
2019_20,2019-10-27,Charlotte,LALakers,101,120,-14.0,-13.0,216.0,216.5,win,over
2019_20,2019-10-28,Indiana,Detroit,94,96,1.0,2.0,213.5,213.0,loss,under
2019_20,2019-10-28,Chicago,NewYork,98,105,-0.0,2.0,224.0,224.0,loss,under
2019_20,2019-10-28,Philadelphia,Atlanta,105,103,4.0,6.5,223.0,221.0,loss,under
