season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2012_13,2012-10-30,Washington,Cleveland,84,94,-5.5,-6.0,191.0,190.5,win,under
2012_13,2012-10-30,Boston,Miami,107,120,-8.0,-6.5,184.0,187.5,win,over
2012_13,2012-10-30,Dallas,LALakers,99,91,-8.5,-8.5,187.0,186.5,loss,over
2012_13,2012-10-31,Indiana,Toronto,90,88,3.5,1.0,188.5,190.0,win,under
2012_13,2012-10-31,Denver,Philadelphia,75,84,-2.0,2.0,201.0,197.5,loss,under
2012_13,2012-10-31,Houston,Detroit,105,96,-3.0,-2.5,188.0,194.0,loss,over
2012_13,2012-10-31,SanAntonio,NewOrleans,99,95,6.0,7.0,189.0,186.5,loss,over
2012_13,2012-10-31,Sacramento,Chicago,87,93,-7.5,-6.5,189.0,191.0,loss,under
2012_13,2012-10-31,Dallas,Utah,94,113,-7.0,-8.0,190.5,194.5,win,over
2012_13,2012-10-31,GoldenState,Phoenix,87,85,-3.5,-2.0,201.5,202.0,loss,under
2012_13,2012-10-31,Memphis,LAClippers,92,101,-4.5,-4.5,187.5,188.0,win,over
2012_13,2012-10-31,LALakers,Portland,106,116,3.5,2.0,190.5,192.0,loss,over
2012_13,2012-11-01,OklahomaCity,SanAntonio,84,86,-3.0,-2.0,201.0,204.0,loss,under
2012_13,2012-11-02,Indiana,Charlotte,89,90,6.5,7.0,185.0,183.0,loss,under
2012_13,2012-11-02,Denver,Orlando,89,102,5.5,6.0,197.0,197.0,loss,under
2012_13,2012-11-02,Houston,Atlanta,109,102,-5.5,-5.0,199.0,203.0,loss,over
2012_13,2012-11-02,Milwaukee,Boston,99,88,-7.5,-7.0,193.0,196.5,loss,under
2012_13,2012-11-02,Chicago,Cleveland,115,86,2.5,3.0,184.0,184.0,win,over
2012_13,2012-11-02,Utah,NewOrleans,86,88,3.5,3.5,189.0,191.5,loss,under
2012_13,2012-11-02,Sacramento,Minnesota,80,92,-3.0,-3.0,195.5,195.5,win,under
2012_13,2012-11-02,Portland,OklahomaCity,92,106,-9.5,-8.5,201.5,204.5,win,under
2012_13,2012-11-02,Miami,NewYork,84,104,5.5,6.0,194.0,198.5,loss,under
2012_13,2012-11-02,Detroit,Phoenix,89,92,-4.0,-4.5,194.5,195.0,loss,under
2012_13,2012-11-02,Memphis,GoldenState,104,94,-1.0,1.5,191.5,192.0,win,over
2012_13,2012-11-02,LAClippers,LALakers,105,95,-5.0,2.0,190.0,191.5,win,over
2012_13,2012-11-03,Boston,Washington,89,86,6.0,5.5,192.5,191.0,loss,under
2012_13,2012-11-03,Sacramento,Indiana,98,106,-8.5,-7.5,192.5,189.0,win,over
2012_13,2012-11-03,Denver,Miami,116,119,-9.0,-8.5,205.0,199.5,loss,over
2012_13,2012-11-03,Toronto,Brooklyn,100,107,-6.0,-5.5,191.0,194.0,win,over
2012_13,2012-11-03,NewOrleans,Chicago,89,82,-9.0,-9.5,184.5,181.5,loss,under
2012_13,2012-11-03,Portland,Houston,95,85,-5.0,-5.5,201.0,206.0,loss,under
2012_13,2012-11-03,Charlotte,Dallas,99,126,-11.0,-10.0,187.0,187.0,win,over
2012_13,2012-11-03,Utah,SanAntonio,100,110,-7.0,-7.5,199.0,201.5,win,over
