season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2009_10,2009-10-27,Boston,Cleveland,95,89,-4.5,-5.0,187.5,183.5,loss,over
2009_10,2009-10-27,Washington,Dallas,102,91,-8.5,-8.5,205.0,210.0,loss,under
2009_10,2009-10-27,Houston,Portland,87,96,-10.0,-9.0,187.5,188.0,loss,under
2009_10,2009-10-27,LAClippers,LALakers,92,99,-10.0,-12.0,208.0,202.0,loss,under
2009_10,2009-10-28,Philadelphia,Orlando,106,120,-8.0,-10.0,194.0,194.5,win,over
2009_10,2009-10-28,Indiana,Atlanta,109,120,-6.5,-7.5,211.0,206.0,win,over
2009_10,2009-10-28,Cleveland,Toronto,91,101,5.5,7.5,191.0,194.0,loss,under
2009_10,2009-10-28,Charlotte,Boston,59,92,-10.5,-10.0,185.0,183.0,win,under
2009_10,2009-10-28,NewYork,Miami,93,115,-6.0,-5.0,211.0,206.0,win,over
2009_10,2009-10-28,Detroit,Memphis,96,74,2.0,1.5,185.0,191.0,win,under
2009_10,2009-10-28,Sacramento,OklahomaCity,89,102,-7.5,-6.5,207.0,204.5,win,under
2009_10,2009-10-28,NewOrleans,SanAntonio,96,113,-8.5,-9.5,184.0,187.5,win,over
2009_10,2009-10-28,NewJersey,Minnesota,93,95,-2.0,2.0,199.5,194.0,loss,under
2009_10,2009-10-28,Utah,Denver,105,114,-6.5,-5.0,210.0,208.5,win,over
2009_10,2009-10-28,Houston,GoldenState,108,107,-6.5,-5.5,216.0,213.0,loss,over
2009_10,2009-10-28,Phoenix,LAClippers,109,107,-1.0,2.5,222.0,217.0,loss,under
2009_10,2009-10-29,SanAntonio,Chicago,85,92,4.5,3.5,194.0,193.0,loss,under
2009_10,2009-10-29,Denver,Portland,97,94,-6.0,-7.0,199.0,201.0,loss,under
2009_10,2009-10-30,Milwaukee,Philadelphia,86,99,-8.0,-6.0,196.0,191.5,win,under
2009_10,2009-10-30,NewYork,Charlotte,100,102,-2.5,-1.5,197.5,196.0,win,over
2009_10,2009-10-30,Washington,Atlanta,89,100,-6.5,-6.0,203.0,202.5,win,under
2009_10,2009-10-30,Chicago,Boston,90,118,-11.0,-11.5,189.0,187.5,win,over
2009_10,2009-10-30,OklahomaCity,Detroit,91,83,-6.5,-5.0,192.5,190.0,loss,under
