season,date,visiting_team,home_team,visiting_team_score,home_team_score,spread_open,spread_close,total_open,total_close,spread_result_home_team,total_result
2008_09,2008-10-28,Cleveland,Boston,85,90,-7.0,-6.0,179.5,182.5,loss,under
2008_09,2008-10-28,Milwaukee,Chicago,95,108,-6.0,-6.0,196.0,198.0,win,over
2008_09,2008-10-28,Portland,LALakers,76,96,-7.0,-8.0,196.5,195.0,win,under
2008_09,2008-10-29,Toronto,Philadelphia,95,84,-5.0,-5.0,190.0,187.5,loss,under
2008_09,2008-10-29,Atlanta,Orlando,99,85,-7.5,-8.0,202.0,202.5,loss,under
2008_09,2008-10-29,NewJersey,Washington,95,85,-6.0,-5.5,192.5,190.5,loss,under
2008_09,2008-10-29,Miami,NewYork,115,120,-3.0,-2.0,207.5,209.5,win,over
2008_09,2008-10-29,Indiana,Detroit,94,100,-10.0,-10.5,187.0,188.0,loss,over
2008_09,2008-10-29,Milwaukee,OklahomaCity,98,87,-2.0,-4.5,198.0,200.0,loss,under
2008_09,2008-10-29,Sacramento,Minnesota,96,98,-5.5,-6.0,203.0,200.0,loss,under
2008_09,2008-10-29,Phoenix,SanAntonio,103,98,-2.5,1.0,187.5,185.0,win,over
2008_09,2008-10-29,Memphis,Houston,71,82,-12.0,-12.5,191.5,192.0,loss,under
2008_09,2008-10-29,Denver,Utah,94,98,-7.0,-8.0,210.5,206.5,loss,under
2008_09,2008-10-29,NewOrleans,GoldenState,108,103,5.0,7.5,207.0,206.5,loss,over
2008_09,2008-10-29,LALakers,LAClippers,117,79,8.5,10.0,203.0,197.5,win,under
2008_09,2008-10-30,Charlotte,Cleveland,79,96,-9.5,-9.0,184.0,183.0,win,under
2008_09,2008-10-30,Houston,Dallas,112,102,-3.5,-3.5,192.5,190.0,loss,over
2008_09,2008-10-30,NewOrleans,Phoenix,108,95,-2.0,-3.0,196.0,199.0,loss,over
2008_09,2008-10-31,GoldenState,Toronto,108,112,-7.5,-6.5,205.0,207.0,loss,over
2008_09,2008-10-31,NewYork,Philadelphia,87,116,-8.0,-8.0,217.0,214.5,win,under
2008_09,2008-10-31,Sacramento,Miami,77,103,-5.5,-6.5,205.0,204.0,win,under
2008_09,2008-10-31,Orlando,Memphis,84,86,6.5,7.5,190.0,193.5,loss,under
2008_09,2008-10-31,Chicago,Boston,80,96,-8.5,-10.0,191.0,189.0,win,under
2008_09,2008-10-31,Denver,LAClippers,113,103,1.5,1.5,200.5,196.5,win,over
2008_09,2008-10-31,SanAntonio,Portland,99,100,1.5,2.0,178.0,175.0,loss,over
2008_09,2008-11-01,Philadelphia,Atlanta,88,95,-3.5,-2.0,194.5,190.5,win,under
2008_09,2008-11-01,Miami,Charlotte,87,100,-2.0,-2.5,192.0,188.0,win,under
2008_09,2008-11-01,Boston,Indiana,79,95,5.5,6.0,191.5,193.5,loss,under
2008_09,2008-11-01,Sacramento,Orlando,103,121,-9.5,-11.0,202.0,199.0,win,over
2008_09,2008-11-01,GoldenState,NewJersey,105,97,-5.5,-4.0,207.0,206.0,loss,under
2008_09,2008-11-01,Washington,Detroit,109,117,-10.5,-9.0,180.0,179.0,loss,over
2008_09,2008-11-01,Dallas,Minnesota,95,85,4.0,6.0,204.0,199.5,win,under
2008_09,2008-11-01,Cleveland,NewOrleans,92,104,-4.0,-3.5,189.5,185.0,win,over
2008_09,2008-11-01,Toronto,Milwaukee,91,87,-1.0,-0.0,193.5,189.5,win,under
2008_09,2008-11-01,Memphis,Chicago,86,96,-9.0,-8.0,194.0,190.5,win,under
2008_09,2008-11-01,OklahomaCity,Houston,77,89,-14.0,-14.5,192.0,192.5,loss,under
2008_09,2008-11-01,LAClippers,Utah,79,101,-14.0,-13.5,194.0,189.5,win,under
2008_09,2008-11-01,LALakers,Denver,104,97,8.5,8.0,209.5,210.0,loss,under
2008_09,2008-11-01,Portland,Phoenix,96,107,-8.0,-9.0,191.0,195.0,win,over
2008_09,2008-11-02,Milwaukee,NewYork,94,86,-5.5,-5.5,215.0,215.5,loss,under
2008_09,2008-11-02,Minnesota,OklahomaCity,85,88,-2.0,-1.0,192.5,189.0,win,under
2008_09,2008-11-03,Sacramento,Philadelphia,91,125,-12.0,-11.5,197.0,199.0,win,over
2008_09,2008-11-03,Detroit,Charlotte,101,83,5.5,3.0,182.5,180.0,win,over
2008_09,2008-11-03,Chicago,Orlando,93,96,-6.5,-8.0,197.0,196.0,loss,under
2008_09,2008-11-03,GoldenState,Memphis,79,90,1.0,2.0,193.5,201.0,loss,under
2008_09,2008-11-03,Cleveland,Dallas,100,81,-3.0,-4.0,193.0,194.5,loss,under
2008_09,2008-11-03,Utah,LAClippers,89,73,6.5,5.0,187.5,183.5,win,under
2008_09,2008-11-04,Phoenix,NewJersey,114,86,4.0,6.5,203.0,202.0,win,under
2008_09,2008-11-04,Boston,Houston,103,99,-2.0,-3.5,178.0,177.5,loss,over
2008_09,2008-11-04,Dallas,SanAntonio,98,81,-3.5,-4.5,190.0,188.0,loss,under
2008_09,2008-11-05,Detroit,Toronto,100,93,-2.5,-3.5,182.5,181.0,loss,over
2008_09,2008-11-05,Phoenix,Indiana,113,103,3.5,3.0,201.0,208.0,win,over
2008_09,2008-11-05,Philadelphia,Miami,83,106,3.0,3.5,190.0,190.5,loss,under
2008_09,2008-11-05,Charlotte,NewYork,98,101,-4.5,-4.0,204.0,204.0,loss,under
2008_09,2008-11-05,Boston,OklahomaCity,96,83,8.5,10.0,180.5,182.0,win,under
2008_09,2008-11-05,Atlanta,NewOrleans,87,79,-9.0,-8.5,194.5,192.5,loss,under
2008_09,2008-11-05,Chicago,Cleveland,93,107,-7.5,-9.0,186.0,186.5,win,over
2008_09,2008-11-05,SanAntonio,Minnesota,129,125,4.0,5.0,184.5,181.0,loss,over
2008_09,2008-11-05,Washington,Milwaukee,104,112,-1.5,1.5,189.5,188.0,loss,over
2008_09,2008-11-05,Portland,Utah,96,103,-7.5,-6.5,186.5,185.0,win,over
2008_09,2008-11-05,Memphis,Sacramento,95,100,-4.0,-2.0,193.5,192.0,win,over
2008_09,2008-11-05,Denver,GoldenState,101,111,-4.0,-3.5,205.5,210.5,win,over
2008_09,2008-11-05,LAClippers,LALakers,88,106,-15.0,-13.5,191.0,191.5,win,over
2008_09,2008-11-06,Philadelphia,Orlando,88,98,-4.5,-5.0,191.5,194.0,win,under
2008_09,2008-11-06,Houston,Portland,99,101,5.0,5.5,184.0,184.0,loss,over
2008_09,2008-11-07,NewOrleans,Charlotte,89,92,7.5,7.5,186.0,185.5,loss,under
2008_09,2008-11-07,NewYork,Washington,114,108,-5.5,-6.0,208.5,211.5,loss,over
2008_09,2008-11-07,Detroit,NewJersey,96,103,7.0,7.5,190.5,191.0,loss,over
2008_09,2008-11-07,Indiana,Cleveland,107,111,-9.0,-8.5,192.0,193.5,loss,over
2008_09,2008-11-07,Toronto,Atlanta,92,110,-3.5,-2.0,182.5,184.0,win,over
2008_09,2008-11-07,Milwaukee,Boston,89,101,-13.5,-14.5,185.0,183.5,loss,over
2008_09,2008-11-07,Miami,SanAntonio,99,83,-6.5,-7.0,189.0,192.0,loss,under
2008_09,2008-11-07,Phoenix,Chicago,83,100,4.0,4.0,204.5,204.5,loss,under
2008_09,2008-11-07,OklahomaCity,Utah,97,104,-11.5,-12.5,181.5,186.5,loss,over
2008_09,2008-11-07,Minnesota,Sacramento,109,121,-3.5,-2.5,199.0,197.0,win,over
2008_09,2008-11-07,Dallas,Denver,105,108,-1.0,-1.0,202.0,206.5,win,over
2008_09,2008-11-07,Memphis,GoldenState,109,104,-6.0,-7.5,194.5,192.5,loss,over
2008_09,2008-11-07,Houston,LAClippers,92,83,7.0,6.0,181.5,181.5,win,under
2008_09,2008-11-08,Washington,Orlando,81,106,-9.0,-10.0,195.0,199.0,win,under
2008_09,2008-11-08,NewJersey,Indiana,80,98,-6.0,-9.0,199.5,201.0,win,under
2008_09,2008-11-08,Miami,NewOrleans,89,100,-9.5,-10.5,192.5,193.0,win,under
2008_09,2008-11-08,Cleveland,Chicago,106,97,2.0,2.0,189.5,189.0,win,over
2008_09,2008-11-08,Phoenix,Milwaukee,104,96,5.5,6.0,197.5,196.5,win,over
2008_09,2008-11-08,Minnesota,Portland,93,97,-8.0,-8.0,191.5,192.0,loss,under
2008_09,2008-11-09,Toronto,Charlotte,89,79,3.5,4.0,183.0,183.0,win,under
2008_09,2008-11-09,Utah,NewYork,99,107,3.5,4.0,207.0,207.5,loss,under
2008_09,2008-11-09,Dallas,LAClippers,92,103,4.0,4.5,185.5,183.5,loss,over
2008_09,2008-11-09,Boston,Detroit,88,76,-2.0,-0.0,186.5,185.0,win,under
2008_09,2008-11-09,Atlanta,OklahomaCity,89,85,5.0,4.0,183.0,186.0,loss,under
2008_09,2008-11-09,Memphis,Denver,80,92,-8.5,-8.5,199.0,198.0,win,under
2008_09,2008-11-09,GoldenState,Sacramento,98,115,-3.5,-3.0,215.5,214.0,win,under
2008_09,2008-11-09,Houston,LALakers,82,111,-7.5,-7.0,184.5,193.0,win,under
2008_09,2008-11-10,Portland,Orlando,106,99,-7.5,-6.5,192.5,191.0,loss,over
2008_09,2008-11-10,OklahomaCity,Indiana,99,107,-11.0,-11.5,193.5,197.5,loss,over
2008_09,2008-11-10,Toronto,Boston,87,94,-8.0,-8.5,183.0,182.0,loss,under
2008_09,2008-11-10,NewJersey,Miami,94,99,-8.5,-8.0,188.0,187.0,loss,over
2008_09,2008-11-10,Memphis,Phoenix,102,107,-12.0,-11.5,196.5,197.5,loss,over
2008_09,2008-11-11,Utah,Philadelphia,93,80,-4.5,-4.0,191.0,190.0,loss,under
2008_09,2008-11-11,Denver,Charlotte,88,80,3.5,2.5,193.0,199.0,win,under
2008_09,2008-11-11,Milwaukee,Cleveland,93,99,-11.0,-12.0,193.5,189.5,loss,over
2008_09,2008-11-11,Atlanta,Chicago,113,108,-2.5,-4.0,188.0,187.0,loss,over
2008_09,2008-11-11,LALakers,Dallas,106,99,6.0,6.0,196.5,198.5,win,over
2008_09,2008-11-11,NewYork,SanAntonio,80,92,-4.0,-4.0,196.0,198.0,win,under
2008_09,2008-11-11,Detroit,Sacramento,100,92,7.0,7.5,197.5,198.0,win,under
2008_09,2008-11-11,Minnesota,GoldenState,110,113,-5.5,-5.0,204.0,203.5,loss,over
2008_09,2008-11-12,Philadelphia,Toronto,106,96,-5.0,-5.5,185.0,186.0,loss,over
2008_09,2008-11-12,Indiana,NewJersey,98,87,2.0,1.5,198.5,198.5,win,under
2008_09,2008-11-12,Atlanta,Boston,102,103,-10.5,-11.0,179.0,185.5,loss,over
2008_09,2008-11-12,Portland,Miami,104,96,-1.5,-0.0,190.0,189.0,win,over
2008_09,2008-11-12,Utah,Washington,87,95,2.0,4.5,195.5,197.0,loss,under
2008_09,2008-11-12,SanAntonio,Milwaukee,78,82,-2.5,-2.5,183.0,181.0,win,under
2008_09,2008-11-12,LALakers,NewOrleans,93,86,-1.5,-1.5,193.5,195.5,loss,under
2008_09,2008-11-12,Orlando,OklahomaCity,109,92,7.0,8.0,190.0,187.5,win,over
2008_09,2008-11-12,NewYork,Memphis,132,103,-4.5,-4.5,205.5,204.5,loss,over
2008_09,2008-11-12,Houston,Phoenix,94,82,-3.5,-3.0,194.5,199.0,loss,under
2008_09,2008-11-12,Sacramento,LAClippers,103,98,-6.5,-7.5,196.0,195.0,loss,over
2008_09,2008-11-13,Denver,Cleveland,99,110,-5.5,-7.0,200.0,198.5,win,over
2008_09,2008-11-13,Dallas,Chicago,91,98,-1.0,2.0,202.0,200.0,loss,under
2008_09,2008-11-13,Detroit,GoldenState,107,102,4.5,4.5,201.5,199.0,win,over
2008_09,2008-11-14,Philadelphia,Indiana,94,92,-1.0,-1.0,198.0,197.5,loss,under
2008_09,2008-11-14,Utah,Charlotte,96,104,6.5,4.0,180.0,179.0,loss,over
2008_09,2008-11-14,Atlanta,NewJersey,108,115,2.5,4.0,192.5,191.0,loss,over
2008_09,2008-11-14,Washington,Miami,77,97,-7.0,-6.5,197.0,196.5,win,under
2008_09,2008-11-14,OklahomaCity,NewYork,106,116,-8.0,-8.0,207.5,208.5,win,over
2008_09,2008-11-14,Milwaukee,Memphis,101,96,-4.5,-5.0,190.5,187.5,loss,over
2008_09,2008-11-14,Denver,Boston,94,85,-10.0,-10.0,193.0,196.0,loss,under
2008_09,2008-11-14,Portland,NewOrleans,82,87,-8.0,-7.0,191.0,191.0,loss,under
2008_09,2008-11-14,Houston,SanAntonio,75,77,5.0,6.0,172.0,173.5,loss,under
2008_09,2008-11-14,Orlando,Dallas,102,100,-1.0,-1.5,198.5,198.0,loss,over
2008_09,2008-11-14,Phoenix,Sacramento,97,95,6.5,3.0,211.0,202.5,loss,under
